Episode,path
0,"[array([2, 0, 7]), array([ 3, -1,  6])]"
1,"[array([2, 0, 7]), array([3, 1, 8]), array([2, 1, 8]), array([3, 0, 9]), array([ 2, -1,  6])]"
2,"[array([0, 2, 7]), array([0, 1, 7]), array([0, 2, 7]), array([1, 1, 6]), array([0, 1, 6]), array([1, 2, 9]), array([1, 1, 9]), array([0, 2, 8]), array([-1,  3,  9])]"
3,"[array([2, 2, 9]), array([1, 3, 8]), array([2, 2, 9]), array([3, 1, 8]), array([4, 2, 7]), array([5, 1, 6])]"
4,"[array([2, 1, 6]), array([1, 2, 7]), array([2, 1, 6]), array([1, 0, 9]), array([ 1, -1,  9])]"
5,"[array([2, 2, 9]), array([1, 1, 6]), array([2, 2, 9]), array([1, 1, 6]), array([2, 1, 6]), array([1, 2, 7]), array([0, 1, 8]), array([1, 2, 7]), array([1, 1, 7]), array([2, 0, 6])]"
6,"[array([2, 1, 6]), array([1, 0, 9]), array([ 1, -1,  9])]"
7,"[array([2, 2, 9]), array([3, 1, 8]), array([4, 0, 9]), array([ 4, -1,  9])]"
8,"[array([2, 1, 6]), array([3, 1, 6]), array([4, 1, 6]), array([3, 1, 6]), array([4, 2, 9]), array([3, 1, 6]), array([4, 0, 7]), array([3, 1, 6]), array([4, 2, 9]), array([4, 1, 9])]"
9,"[array([2, 2, 9]), array([2, 3, 9]), array([3, 4, 6]), array([2, 3, 9]), array([3, 4, 6]), array([2, 5, 7])]"
10,"[array([0, 0, 9]), array([-1,  1,  8])]"
11,"[array([0, 0, 9]), array([ 0, -1,  9])]"
12,"[array([2, 2, 9]), array([2, 1, 9]), array([3, 2, 6]), array([4, 2, 6]), array([5, 2, 6])]"
13,"[array([2, 1, 6]), array([1, 2, 7]), array([1, 1, 7]), array([0, 2, 6]), array([1, 2, 6]), array([2, 1, 7]), array([1, 0, 8]), array([2, 0, 8]), array([ 1, -1,  7])]"
14,"[array([2, 1, 6]), array([3, 0, 7]), array([ 3, -1,  7])]"
15,"[array([0, 1, 6]), array([1, 0, 7]), array([ 1, -1,  7])]"
16,"[array([2, 0, 7]), array([ 1, -1,  8])]"
17,"[array([0, 2, 7]), array([-1,  1,  8])]"
18,"[array([2, 1, 6]), array([3, 0, 7]), array([3, 1, 7]), array([2, 0, 8]), array([1, 0, 8]), array([0, 1, 9]), array([1, 0, 8]), array([0, 1, 9]), array([0, 0, 9]), array([0, 1, 9])]"
19,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 3, 8]), array([3, 2, 9]), array([4, 3, 6]), array([5, 3, 6])]"
20,"[array([2, 0, 7]), array([ 3, -1,  6])]"
21,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 4, 7]), array([3, 5, 8])]"
22,"[array([0, 1, 6]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([3, 3, 6]), array([4, 4, 9]), array([3, 3, 6]), array([2, 4, 7]), array([3, 5, 8])]"
